1,2,3,4,5,6,7,8,9,10,L,T,Y
1689.4,2497.8,1973.8,906.5,353.8,267,224,319.8,213.1,815.2,243.4,446.4,279.49
2409.3,1699.9,480.5,2446.9,224.9,258.5,2014.6,2412.43,214.1,456.4,244.5,443.2,418.48
319.6,270.6,972,453.2,927.8,1878.3,301.1,1808.14,214.5,2458.7,262.1,461,271.03
1826.1,1930.2,254.4,489.7,217.2,259,2463.2,274.43,219.8,337.6,265,429.6,230.73
244,274.1,231.7,276,363.3,1864.1,1866.2,1886.45,226.2,939,274.9,472.2,1195.01
958.7,284.8,517,962.3,2189.9,2534.1,2422.5,291.58,238.8,314,275,956.9,216.84
1421.1,1858.1,1695.3,1913,254.4,1808.8,2372.5,1945.02,239.5,1946.7,275.8,269.5,387.17
281,2307.2,1937.8,623.8,392.3,1927.7,275.1,440.49,240.8,1995.7,278.4,1471.8,914.12
1084,285,2498.7,1618.7,2489.6,1929,306.4,2440.04,243.5,1988.2,278.5,452.4,2437.9
317.2,275,479.3,2375.4,242,1480.1,353.9,93.82,245.4,1834.9,281.4,412.3,471.24
518.7,265.5,2091.5,476.6,1814.5,2480.9,2698.7,319.68,245.6,1946.4,283.5,265.1,405.6
1915.9,2350.8,467.4,288.7,244,270.1,282,1822.54,246.7,1795.9,283.5,463.5,228.05
278.3,2425.7,526.5,464.6,2058.9,1942.5,2408.1,2255.26,255.7,1644.2,287.7,273.4,740.46
293.5,401.2,319.4,426.2,2039.1,239.3,283.4,2064.2,255.9,2268.3,289.6,1002.3,2065.45
2512.8,2500.9,2089.6,2026.1,261.1,2176.9,260.5,2389.61,262,253.9,290.3,1117.3,498.39
948.4,1898.1,1662.6,2531.5,440,1893,2190.8,1810.61,264.2,2615.1,290.3,433.8,405.78
2514.1,292.6,454.9,515,474.7,1981.4,1992.1,2469.02,268.6,254.8,291.6,409.7,412.98
2220.5,2459,135.4,456.1,262.2,468.1,1920.5,1956.37,268.6,249.5,312.3,443,267.57
344.3,2471.2,889.3,276.3,262.9,409.8,274.8,2482.46,269.1,306.1,340.4,495.4,1579.72
2155.7,2499.2,473,419.7,1865.1,1921,366.5,329.79,269.1,263.3,345.3,1714.6,446.51
1924,2567.3,1986.6,452.6,262.8,2606.9,296.1,1683.89,272.4,317.7,376.1,779.9,421.74
2320.5,250.1,269.7,2352.5,1897,2313.8,277,1807.98,273.3,1902.4,381.8,261.7,417.15
408.1,259.3,1889.7,256.9,278.9,1838.7,1968.2,264.72,275.3,457.9,404.1,243.8,224.07
1972.2,1661,461.6,1947,2466.4,2022.4,2517.8,2445.69,277.6,1535.2,416,404.6,436.22
577.3,278.3,219.1,2261.9,275.3,1891,1696.2,1828.39,278.9,1072.5,421.3,795,231.04
2382.1,1678.3,1638.5,482.2,1843.4,268.6,2396.3,1994.26,280.5,271.6,422,427.9,492.3
1951.4,2526.6,473.6,745.2,1690.7,361.3,287.2,2350.93,281.3,289.7,422.5,241.5,272.51
2561.5,238.6,292.4,436.6,459,,2048.2,269.61,282.3,299,424.8,413.1,467.65
332,1652.5,446.8,285.7,2979.7,304.3,285.5,1347.15,283.8,491.3,434,441.2,1765.78
2507.7,260.7,495.8,920.3,211.9,249.1,1978.2,2013.13,288.9,512.2,437.2,451.5,769.3
1962.2,471.8,350.9,398.5,1918.5,1731.9,2530.5,2282.55,292.8,310.5,441,2570.8,441.82
1000.9,1865.9,445,469.7,268.7,2095.3,1932.7,2290.62,293.8,322.7,446.8,233.8,466.81
2010.3,2187.6,299.6,1918.4,2349.6,1868.7,2536.1,1958,299.3,1850.6,455.5,1615,769.36
2455.9,256.3,1926.2,279.3,283.7,269.3,2148.2,458.41,320.3,324.8,460.4,1042.9,462.73
280.5,277.6,405.6,2327.7,2215.7,2471.7,277.8,2405.12,333.5,502.1,461.3,1828.3,434.77
450.3,508.3,1904.4,461.2,302.7,2258.4,2535.4,233.65,343.3,448.3,464.6,438.5,489.02
2341.5,256.9,278.2,1452.9,784.6,244.2,2513.8,273.44,353.5,461.2,465.1,2042.1,267.63
1390.5,278.9,1680.5,2366.4,1974.7,1814.5,266.7,1880.51,390.8,473.3,469.7,313.9,281.65
277.8,280.9,272.5,492.2,1785.8,253.9,268.8,1887.7,394.3,316.4,476,427.2,464.05
284.4,273.1,470.8,267.8,1984.8,2351.4,310.9,2308.63,412.6,1700.4,478.5,427.3,2433.51
1074.4,265.2,1753.4,266.5,2485.8,1770.2,2659.9,2447.82,419,212.4,478.8,903.2,420.53
1413.4,2572.7,444.2,454,275.9,2024.3,296.7,2332.87,419.8,2557.2,480,233.2,220.27
1012.5,1623.3,1876.7,505,2418.3,228.1,1994.7,2424.36,425.5,2143.9,489.8,1687.3,481.9
3413.7,286.6,2325.3,514.1,431.5,2387.7,2590.6,312.93,426,1954.6,491.5,417.1,249.3
2394,1972.5,1860.2,505.1,2139.1,1909.8,488.4,1973.82,431.3,466.7,493.7,1091.8,282.7
2065.4,429.8,265,232.2,1980.1,2332.4,1915.5,1872.97,431.3,1775.6,507.6,2332,461.59
281.2,266.6,303.7,1398.1,2427.4,1977.3,1893.5,2416.67,432.4,288.8,509.2,271.5,763.23
280.4,1655.2,280.5,306.9,2513.4,266.4,2486.9,281.47,433.7,867.2,509.3,1048.1,462.19
2242.5,2629.4,216.9,271.3,430,2488.2,305.9,1839.87,437.9,804.2,510.5,460.1,459.97
237.8,1909.5,227.8,1904.3,276,1617.7,296.8,2535.02,438,479.2,511.2,444.5,440.07
1432.5,268.1,467.2,458.6,1942.3,2505.1,1928.1,1884.42,438,2540.1,528.9,424.6,469.21
1991.5,262.7,561.3,282.4,268.2,1888.9,2576.1,2420.04,442.1,457.8,537.2,2105.3,1869.35
1455.8,2448.1,1083.4,2124.6,389.8,1809.8,1963.2,2015.14,443.2,518,586.6,2501.2,239
2285.6,1945.9,2439.5,2163.5,258.1,2565.9,2101.6,2208.03,443.6,921.1,655.2,466.6,457.33
2529.1,1936.1,792.1,1469.7,1963.2,1885.4,269.8,1972.49,444.5,250.6,820,1204.8,456.31
1479.5,276.6,420.6,2279.9,641,285.3,1992.5,2337.81,445.1,303.2,833.3,466.1,309.24
1849.7,1934.5,254.8,2102.4,1942.9,320.2,2473.5,2294.53,445.3,368.4,844.9,445.3,284.98
406.4,1990.3,273.1,1225.6,875,2012.1,279.7,1978.81,447.2,213.5,864.6,440,289.12
2172.4,2547.9,432.1,506.7,436.2,2111.5,312.2,2469.12,450,265.3,869.8,250.6,2506.94
399.6,279.2,3078,2015.4,2354.6,,2430.2,265.84,450.9,226.5,935.9,453.9,332
442.1,2464.9,447.9,219.1,1899.2,,1977.9,2410.91,451.4,1704.5,943.2,440.6,472.32
285.7,2030.2,440.9,1452.2,930.2,,2407.4,230.79,451.8,1890,1002.6,2528.1,457.21
301.1,1660.1,1891,1928.6,1949.7,,275.6,2347.75,458,337.9,1018.3,461.2,2173.03
2248.9,269.7,456.6,2282.2,132.7,,270.5,2011.41,459.2,510.6,1031.1,462.5,1809.79
1142.8,145,438.7,433.3,1759.3,,1920.4,2082.89,462.1,2329.2,1038.9,1975.7,1957.85
2485.7,2490.8,2421.2,425.7,466.1,,2430.2,283.57,463.7,1716.8,1217.8,269,1777.58
1893.3,2341.2,309.5,1650.3,1965.9,,2488.7,2388.28,464,234.8,1304.5,286.9,1093.23
1972.5,460.6,289.7,302.4,1727.6,,1937.7,279.93,465.8,279.2,1382.5,1843.1,964.39
277.1,2530.4,279.9,458.9,284.5,,265.8,1986.55,466.4,889.6,1440.7,430.6,268.43
1171.1,2152.3,270.3,516.7,2590,,2557.8,2380.95,469.1,1742.1,1479.5,1524.8,902.36
284.1,1920.5,1937.4,2450.1,233.3,,2457.4,2532.32,471.1,465.8,1616.3,2462.8,973.43
151.1,1906.9,1953.1,1687.5,449.3,,1941.4,1316.68,471.5,507.4,1633.2,476,1646.24
941.6,270.2,289.9,367,1970.3,,1876,1915.64,474.6,357.5,1785.8,417.1,501.19
895.6,1772.4,267.8,307.1,1912.7,,1866,2422.85,481.7,483,1799.9,2570.7,232.53
2674.1,2370.1,410.9,,266.5,,1759.7,2116.89,482.2,427.2,1814.5,333.3,803.71
280.7,1662.5,275.3,,2589.2,,1916.3,330.89,483.4,1806.7,1826.4,288,1656.47
2530.8,2404.2,1671.7,,278.1,,280.6,2114.76,492,1892.8,1828.9,448.3,454.93
125.3,2067.8,1868.1,,268.4,,2006.1,1914.57,506.6,477.3,1871.2,439.9,2508.27
2472.6,438.4,934.9,,285,,1815,2453.33,536.3,2460.2,1876.1,473.4,300.2
330.5,1852.8,440.8,,267.5,,2031.3,2266.74,543.2,248.6,2314.1,444.3,482.62
217.5,1736.9,1455.4,,1828.1,,1976.3,268.19,680.2,702.1,2409.9,471.5,1626.5
1813.6,312,477.1,,1842.3,,1943.4,2435.44,729,332.4,2516.1,1861.5,319.68
2591.9,1664.6,407,,274.2,,1831.3,2429,746.3,225.8,2749.2,437.3,813.88
2469.4,2443.9,1359.2,,1920.4,,1826.9,324.21,794.8,477.8,2995.1,253.3,266.52
1972.3,1950.1,1864.9,,461.8,,2400.4,2379.28,810.8,1803.7,,1122.1,2412.87
1879.7,2543.8,2106.9,,372.5,,1866.7,2384.73,817.7,286.7,,1444.9,1932.82
1938.9,295.3,268.1,,1671.1,,2342.5,2103.9,833,905.3,,247.4,2303.12
2639.4,1848.2,423.9,,2495.7,,2641.8,2198.35,935,458.5,,261.4,1619.8
1985.7,2439.6,426.3,,1935.1,,2592.2,2369.22,1166.4,279.9,,,473.16
2474.9,1712.6,1458.9,,1875.6,,1766.6,2028.09,1290.2,219.4,,417.2,1538.15
2528.2,306.9,924.7,,274.4,,1976.3,2349.34,1759.2,1815.7,,433.4,1779.25
1659,1994.4,910.3,,1750.6,,296.6,2363.38,1764.6,408.9,,408.2,444.22
2011.4,2544,437.8,,423.4,,1847.6,268.25,1806.8,422.6,,241,1792.77
2499,284.4,324.9,,2423.3,,,1865.56,1820.6,2510.6,,429.8,420.65
1917.5,2560.3,642.7,,269.1,,,2035.44,1823,400.1,,444.5,897.15
265.4,2433,1635,,276.4,,,2282.19,1833.4,235,,435.4,2066.83
2373.7,1971.3,269.2,,1701.8,,,244.52,1862.2,1684.1,,977.1,477.71
2340.6,1700.1,315.6,,2473.5,,,2024.83,1867.6,2076.6,,774.9,1668.8
2590.8,459.8,1802,,430.4,,,2313.3,1870.8,,,2074.5,2442.92
1891.1,138.6,1693.5,,276.6,,,2538.61,1871.7,,,2007.9,261.32
273.1,1960.1,265.5,,2392.5,,,2469.44,1883,,,432.4,709.93
2447.2,1872.7,262.2,,260.1,,,2441.86,1899.3,,,811.5,280.42
1691.4,273.4,447.4,,325.1,,,1878.79,1944.4,,,457.6,438.02
2483.1,2562.2,440.3,,1945.8,,,2490.22,2001.5,,,1725.3,1623.9
283.4,2360.6,215.7,,2470.3,,,2246.62,2024.7,,,927.2,30.16
2375.7,2446.4,400.8,,278.9,,,458.11,2060.3,,,442.5,434.11
1933.6,2437.7,443.7,,1891.1,,,1974.11,2513.9,,,2268.1,879.29
2433.9,261.3,282.8,,259,,,1832.61,2646.6,,,1803.3,417.81
1974.4,2006.7,1448.7,,1885,,,315.75,,,,1357.1,257.98
464.8,250,441.2,,318.9,,,1940.21,,,,410.1,1600.27
309.8,1886.6,272.3,,458.9,,,2517.91,,,,432.2,489.31
451.4,356.6,248.1,,1976,,,1875.18,,,,261.3,432.72
2141.9,2543.8,1977.3,,2522.2,,,1831.8,,,,258.5,445.25
2331.3,2548.5,,,276.5,,,281.04,,,,445.3,461.89
1928.7,2367,,,437.8,,,1951.9,,,,445.1,1585.27
2474.3,2643.2,,,2209.9,,,2027.66,,,,1003.3,2459.99
1931.2,2597.8,,,,,,2434.58,,,,1037.4,240.61
2012.7,,,,,,,2331.03,,,,971.5,455.59
1915.8,,,,,,,266.02,,,,416.5,394.75
459.4,,,,,,,,,,,976.6,1778.25
2504.3,,,,,,,,,,,432.3,1821.4
1872.3,,,,,,,,,,,2084.9,
285.4,,,,,,,,,,,437.2,
1672,,,,,,,,,,,437.8,
2444.9,,,,,,,,,,,427,
261.5,,,,,,,,,,,2059,
1871.9,,,,,,,,,,,734.8,
1849.2,,,,,,,,,,,433.3,
1834.9,,,,,,,,,,,1184,
473.9,,,,,,,,,,,454.3,
1928.6,,,,,,,,,,,623,
268.7,,,,,,,,,,,442,
2383.4,,,,,,,,,,,244.2,
348,,,,,,,,,,,752.3,
379.7,,,,,,,,,,,2801.3,
2330,,,,,,,,,,,954.2,
1823.8,,,,,,,,,,,783.4,
2010,,,,,,,,,,,472.9,
1000.7,,,,,,,,,,,697.2,
437.6,,,,,,,,,,,826.9,
1980.1,,,,,,,,,,,258.5,
921.9,,,,,,,,,,,434.6,
300.4,,,,,,,,,,,980,
2428.4,,,,,,,,,,,432.5,
324.9,,,,,,,,,,,943.6,
2356.5,,,,,,,,,,,439.3,
139.8,,,,,,,,,,,889.3,
2254.5,,,,,,,,,,,458.1,
805.1,,,,,,,,,,,1380.5,
240.7,,,,,,,,,,,1307.4,
2457.2,,,,,,,,,,,987.8,
472.4,,,,,,,,,,,463.7,
,,,,,,,,,,,449.4,
,,,,,,,,,,,1832,
,,,,,,,,,,,1002.5,
,,,,,,,,,,,253.3,
,,,,,,,,,,,417.1,
,,,,,,,,,,,1398.3,
,,,,,,,,,,,1175.1,
,,,,,,,,,,,974.4,
,,,,,,,,,,,800.7,
,,,,,,,,,,,443,
,,,,,,,,,,,2228.8,
,,,,,,,,,,,284.5,
,,,,,,,,,,,1113.2,
,,,,,,,,,,,257.9,
,,,,,,,,,,,450.4,
,,,,,,,,,,,1110.9,
,,,,,,,,,,,454.4,
,,,,,,,,,,,785,
,,,,,,,,,,,442.6,
,,,,,,,,,,,1011.4,
,,,,,,,,,,,512.1,
,,,,,,,,,,,415.8,
,,,,,,,,,,,436.4,
,,,,,,,,,,,265.3,
,,,,,,,,,,,879.4,
,,,,,,,,,,,443.3,
,,,,,,,,,,,448.4,
,,,,,,,,,,,,
,,,,,,,,,,,835.7,
,,,,,,,,,,,469.2,
,,,,,,,,,,,755.8,
,,,,,,,,,,,256.6,
,,,,,,,,,,,1682.7,
,,,,,,,,,,,257.8,
,,,,,,,,,,,946.2,
,,,,,,,,,,,438.8,
,,,,,,,,,,,453.2,
,,,,,,,,,,,459.1,
,,,,,,,,,,,1366.5,
,,,,,,,,,,,257.7,
,,,,,,,,,,,934.5,
,,,,,,,,,,,1163.9,
,,,,,,,,,,,412.6,
,,,,,,,,,,,445.5,
,,,,,,,,,,,1767.4,
