start, end
0.00, 0.69
0.89, 0.93
1.78, 1.93
2.47, 2.92
3.06, 3.37
4.04, 4.22
4.35, 4.53
4.66, 4.77
4.81, 5.01
5.61, 5.88
5.96, 6.24
6.57, 6.70
6.91, 7.00
7.07, 7.46
7.51, 7.55
7.91, 8.28
8.37, 8.51
8.79, 9.94
10.77, 11.14
11.72, 11.85
11.93, 12.43
12.72, 13.09
13.29, 13.71
13.96, 14.28
14.51, 14.82
14.98, 15.45
15.71, 16.00
16.03, 16.41
17.33, 17.80
17.83, 18.02
18.91, 19.26
19.62, 19.96
20.19, 21.31
21.65, 21.91
22.17, 22.64
22.90, 23.08
23.29, 23.40
23.63, 24.07
24.41, 24.59
24.82, 24.97
25.25, 25.43
26.98, 27.05
27.83, 28.03
28.35, 28.44
28.52, 29.33
29.78, 30.42
30.48, 30.93
31.50, 31.84
31.90, 32.17
33.16, 33.55
33.61, 34.07
34.52, 35.00
37.61, 37.82
37.89, 38.26
38.68, 38.77
38.83, 38.92
39.03, 39.11
39.42, 39.47
39.77, 40.00
40.03, 40.25
40.71, 40.97
41.15, 41.46
41.52, 41.96
42.28, 43.26
43.34, 43.56
43.64, 44.01
44.21, 44.69
44.77, 45.24
45.32, 45.79
46.76, 47.26
47.91, 49.58
52.41, 54.16
55.92, 56.66
58.04, 58.94
59.43, 59.69
60.01, 60.53
62.75, 63.28
64.14, 64.62
66.65, 67.10
67.77, 68.51
68.84, 69.44
69.93, 71.12
71.22, 72.11
74.17, 74.30
74.64, 76.33